"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"208053",":stat_player_game_def","0","0","0","0","1","0","0","0","200709230was","200709230was_20","0","Andre Carter","C/CartAn20","0","1.0","0","4","0","4","WAS","2007",,,
"208054",":stat_player_game_def","1","0","0","0","0","0","0","0","200709160rav","200709160rav_21","1","Ray Lewis","L/LewiRa00","0","0.0","0","7","0","7","BAL","2007",,,
"208055",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160crd","200709160crd_22","0","Antonio Smith","S/SmitAn22","1","1.0","0","3","1","3","ARI","2007",,,
"208056",":stat_player_game_def","0","0","0","0","0","0","0","0","200709300nyg","200709300nyg_21","0","Justin Tuck","T/TuckJu20","2","2.0","1","7","3","6","NYG","2007",,,
"208057",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_23","0","Danieal Manning","M/MannDa21","0","0.0","0","7","0","7","CHI","2007",,,
"208058",":stat_player_game_def","","","","","0","0","0","0","200709160tam","200709160tam_21","0","Brian Young","Y/YounBr20","0","0.0","0","1","0","1","NOR","2007",,,
"208059",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160ram","200709160ram_23","0","Travis Minor","M/MinoTr00","0","0.0","0","1","0","1","STL","2007",,,
"208060",":stat_player_game_def","0","0","0","0","0","0","0","0","200710210dal","200710210dal_22","0","Anthony Fasano","F/FasaAn00","0","0.0","1","1","0","0","DAL","2007",,,
"208061",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_22","0","Justin McCareins","M/McCaJu00","0","0.0","0","1","0","1","NYJ","2007",,,
"208062",":stat_player_game_def","","","","","0","1","0","0","200709090dal","200709090dal_20","0","Kevin Dockery","D/DockKe20","0","0.0","0","0","0","0","NYG","2007",,,
"208063",":stat_player_game_def","0","0","0","0","0","0","0","0","200709230was","200709230was_21","0","Kedric Golston","G/GolsKe20","1","1.0","1","2","0","1","WAS","2007",,,
"208064",":stat_player_game_def","1","0","0","0","0","0","0","0","200709160rav","200709160rav_22","1","Ed Reed","R/ReedEd00","0","0.0","0","1","0","1","BAL","2007",,,
"208065",":stat_player_game_def","0","0","0","0","0","0","0","0","200709300nyg","200709300nyg_22","0","Michael Strahan","S/StraMi02","3","1.0","1","6","2","5","NYG","2007",,,
"208066",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_24","0","Brandon McGowan","M/McGoBr21","0","0.0","2","6","0","4","CHI","2007",,,
"208067",":stat_player_game_def","1","0","0","0","0","0","0","0","200709160tam","200709160tam_22","1","Cato June","J/JuneCa99","0","0.0","2","5","1","3","TAM","2007",,,
"208068",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160crd","200709160crd_23","0","Mike Barr","B/BarrMi21","0","0.0","0","1","0","1","ARI","2007",,,
"208069",":stat_player_game_def","0","0","0","0","0","0","0","0","200710210dal","200710210dal_23","1","Terence Newman","N/NewmTe20","0","0.0","0","1","0","1","DAL","2007",,,
"208070",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_23","0","Brad Smith","S/SmitBr01","0","0.0","0","1","0","1","NYJ","2007",,,
"208071",":stat_player_game_def","1","18","0","18","0","0","0","0","200709090dal","200709090dal_21","2","Jacques Reeves","R/ReevJa20","0","0.0","2","3","0","1","DAL","2007",,,
"208072",":stat_player_game_def","0","0","0","0","0","0","0","0","200709230was","200709230was_22","0","Shaun Suisham","S/suishsha01","0","0.0","0","2","0","2","WAS","2007",,,
"208073",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160rav","200709160rav_23","0","Corey Ivy","I/IvyxCo20","1","1.0","0","6","1","6","BAL","2007",,,
"208074",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160ram","200709160ram_24","0","Jeff Wilkins","W/wilkijef01","0","0.0","0","1","0","1","STL","2007",,,
