"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"261660",":stat_player_game_kick","1","1","200312210pit","200312210pit_1","Steve Christie","C/chrisste01","0","","0","","SDG","3","3","2003",,,
"261662",":stat_player_game_kick","","","200311270dal","200311270dal_4","Toby Gowin","G/gowintob01","5","50","183","36.6","DAL","","","2003",,,
"261663",":stat_player_game_kick","","","200312070oti","200312070oti_2","Hunter Smith","S/SmitHu21","4","52","144","36.0","IND","","","2003",,,
"261666",":stat_player_game_kick","2","2","200312070oti","200312070oti_3","Gary Anderson","A/andergar02","0","","0","","TEN","1","1","2003",,,
"261667",":stat_player_game_kick","","","200312210pit","200312210pit_2","Darren Bennett","B/BennDa20","3","48","127","42.3","SDG","","","2003",,,
"261672",":stat_player_game_kick","","","200312070oti","200312070oti_4","Craig Hentrich","H/hentrcra01","2","48","91","45.5","TEN","","","2003",,,
"261673",":stat_player_game_kick","2","2","200312210pit","200312210pit_3","Jeff Reed","R/reedxjef01","0","","0","","PIT","5","4","2003",,,
"261679",":stat_player_game_kick","","","200312210pit","200312210pit_4","Josh Miller","M/MillJo25","4","43","155","38.8","PIT","","","2003",,,
"261692",":stat_player_game_kick","3","3","200311160chi","200311160chi_1","Jeff Wilkins","W/wilkijef01","0","","0","","STL","2","2","2003",,,
"261693",":stat_player_game_kick","","","200311160chi","200311160chi_2","Sean Landeta","L/LandSe20","6","51","258","43.0","STL","","","2003",,,
"261694",":stat_player_game_kick","1","","200311160chi","200311160chi_3","Paul Edinger","E/edingpau01","0","","0","","CHI","3","3","2003",,,
"261696",":stat_player_game_kick","","","200311160chi","200311160chi_4","Brad Maynard","M/MaynBr20","7","51","289","41.3","CHI","","","2003",,,
"261707",":stat_player_game_kick","3","2","200312140nwe","200312140nwe_1","Seth Marler","M/marleset01","0","","0","","JAX","1","1","2003",,,
"261708",":stat_player_game_kick","","","200312140nwe","200312140nwe_2","Mark Royals","R/RoyaMa20","5","50","216","43.2","JAX","","","2003",,,
"261709",":stat_player_game_kick","2","2","200312140nwe","200312140nwe_3","Adam Vinatieri","V/vinatada01","0","","0","","NWE","3","3","2003",,,
"261710",":stat_player_game_kick","","","200312140nwe","200312140nwe_4","Ken Walter","W/WaltKe20","4","51","161","40.3","NWE","","","2003",,,
"262066",":stat_player_game_kick","1","1","200312140kan","200312140kan_1","Jason Hanson","H/hansojas01","0","","0","","DET","2","2","2003",,,
"262070",":stat_player_game_kick","","","200312140kan","200312140kan_2","Nick Harris","H/HarrNi20","2","43","82","41.0","DET","","","2003",,,
"262072",":stat_player_game_kick","2","1","200312140kan","200312140kan_3","Morten Andersen","A/andermor01","0","","0","","KAN","6","6","2003",,,
"262073",":stat_player_game_kick","2","2","200312220rai","200312220rai_1","Ryan Longwell","L/longwrya01","0","","0","","GNB","5","5","2003",,,
"262074",":stat_player_game_kick","","","200312140kan","200312140kan_4","Jason Baker","B/BakeJa20","1","42","42","42.0","KAN","","","2003",,,
"262075",":stat_player_game_kick","","","200312220rai","200312220rai_2","Josh Bidwell","B/BidwJo20","3","50","127","42.3","GNB","","","2003",,,
"262080",":stat_player_game_kick","","","200312220rai","200312220rai_3","Sebastian Janikowski","J/janikseb01","0","","0","","OAK","1","1","2003",,,
"262085",":stat_player_game_kick","","","200312220rai","200312220rai_4","Shane Lechler","L/LechSh20","5","57","257","51.4","OAK","","","2003",,,
"262096",":stat_player_game_kick","1","","200312280atl","200312280atl_1","Seth Marler","M/marleset01","0","","0","","JAX","2","2","2003",,,
"262101",":stat_player_game_kick","","","200312280atl","200312280atl_2","Mark Royals","R/RoyaMa20","4","43","154","38.5","JAX","","","2003",,,
"262103",":stat_player_game_kick","","","200312280atl","200312280atl_3","Jay Feely","F/feelyjay01","0","","0","","ATL","3","3","2003",,,
"262105",":stat_player_game_kick","","","200312280atl","200312280atl_4","Chris Mohr","M/MohrCh20","4","50","166","41.5","ATL","","","2003",,,
"262112",":stat_player_game_kick","3","3","200311230crd","200311230crd_1","Jeff Wilkins","W/wilkijef01","0","","0","","STL","3","3","2003",,,
"262116",":stat_player_game_kick","","","200311230crd","200311230crd_2","Sean Landeta","L/LandSe20","3","54","153","51.0","STL","","","2003",,,
"262117",":stat_player_game_kick","","","200311300sdg","200311300sdg_1","Morten Andersen","A/andermor01","0","","0","","KAN","4","4","2003",,,
"262118",":stat_player_game_kick","2","2","200311230crd","200311230crd_3","Neil Rackers","R/rackenei01","0","","0","","ARI","3","3","2003",,,
"262120",":stat_player_game_kick","","","200311300sdg","200311300sdg_2","Jason Baker","B/BakeJa20","5","47","189","37.8","KAN","","","2003",,,
"262121",":stat_player_game_kick","","","200311230crd","200311230crd_4","Scott Player","P/PlaySc20","3","44","122","40.7","ARI","","","2003",,,
"262122",":stat_player_game_kick","3","1","200311300sdg","200311300sdg_3","Steve Christie","C/chrisste01","0","","0","","SDG","3","3","2003",,,
"262128",":stat_player_game_kick","","","200311300sdg","200311300sdg_4","Darren Bennett","B/BennDa20","3","37","93","31.0","SDG","","","2003",,,
"262137",":stat_player_game_kick","2","2","200312210buf","200312210buf_1","Olindo Mare","M/marexoli01","0","","0","","MIA","2","2","2003",,,
"262138",":stat_player_game_kick","","","200312210buf","200312210buf_2","Matt Turk","T/TurkMa20","7","41","237","33.9","MIA","","","2003",,,
"262140",":stat_player_game_kick","","","200312210buf","200312210buf_3","Brian Moorman","M/MoorBr24","6","59","263","43.8","BUF","","","2003",,,
"262141",":stat_player_game_kick","1","1","200312210buf","200312210buf_4","Rian Lindell","L/linderia01","0","","0","","BUF","","","2003",,,
"262150",":stat_player_game_kick","","","200312280sdg","200312280sdg_1","Sebastian Janikowski","J/janikseb01","0","","0","","OAK","2","2","2003",,,
"262151",":stat_player_game_kick","","","200312280sdg","200312280sdg_2","Shane Lechler","L/LechSh20","9","55","424","47.1","OAK","","","2003",,,
"262152",":stat_player_game_kick","","","200312280sdg","200312280sdg_3","Steve Christie","C/chrisste01","0","","0","","SDG","3","3","2003",,,
"262155",":stat_player_game_kick","","","200312280sdg","200312280sdg_4","Darren Bennett","B/BennDa20","10","53","392","39.2","SDG","","","2003",,,
"262161",":stat_player_game_kick","5","4","200312080cle","200312080cle_1","Jeff Wilkins","W/wilkijef01","0","","0","","STL","2","2","2003",,,
"262163",":stat_player_game_kick","","","200312080cle","200312080cle_2","Sean Landeta","L/LandSe20","4","52","146","36.5","STL","","","2003",,,
"262165",":stat_player_game_kick","","","200312080cle","200312080cle_3","Phil Dawson","D/dawsophi01","0","","0","","CLE","2","2","2003",,,
"262166",":stat_player_game_kick","1","1","200312140sdg","200312140sdg_1","Ryan Longwell","L/longwrya01","0","","0","","GNB","5","5","2003",,,
"262167",":stat_player_game_kick","","","200312080cle","200312080cle_4","Chris Gardocki","G/GardCh20","4","52","172","43.0","CLE","","","2003",,,
"262168",":stat_player_game_kick","","","200312140sdg","200312140sdg_2","Josh Bidwell","B/BidwJo20","5","60","239","47.8","GNB","","","2003",,,
"262170",":stat_player_game_kick","2","2","200312140sdg","200312140sdg_3","Steve Christie","C/chrisste01","0","","0","","SDG","1","1","2003",,,
"262172",":stat_player_game_kick","","","200312140sdg","200312140sdg_4","Darren Bennett","B/BennDa20","3","48","119","39.7","SDG","","","2003",,,
"262185",":stat_player_game_kick","","","200312070nwe","200312070nwe_1","Matt Turk","T/TurkMa20","11","56","406","36.9","MIA","","","2003",,,
"262186",":stat_player_game_kick","2","1","200312070nwe","200312070nwe_2","Adam Vinatieri","V/vinatada01","0","","0","","NWE","1","1","2003",,,
"262187",":stat_player_game_kick","","","200312070nwe","200312070nwe_3","Brooks Barnard","B/BarnBr20","10","49","365","36.5","NWE","","","2003",,,
"262188",":stat_player_game_kick","","","200312070nwe","200312070nwe_4","Tom Brady","B/BradTo00","1","36","36","36.0","NWE","","","2003",,,
"262558",":stat_player_game_kick","3","3","200309070gnb","200309070gnb_1","Aaron Elling","E/ellinaar01","0","","0","","MIN","3","3","2003",,,
"262561",":stat_player_game_kick","","","200309070gnb","200309070gnb_2","Eddie Johnson","J/JohnEd22","2","37","74","37.0","MIN","","","2003",,,
"262563",":stat_player_game_kick","","","200312210car","200312210car_1","Jason Hanson","H/hansojas01","0","","0","","DET","2","2","2003",,,
"262565",":stat_player_game_kick","1","1","200309070gnb","200309070gnb_3","Ryan Longwell","L/longwrya01","0","","0","","GNB","2","2","2003",,,
"262567",":stat_player_game_kick","","","200312210car","200312210car_2","Nick Harris","H/HarrNi20","8","49","333","41.6","DET","","","2003",,,
"262569",":stat_player_game_kick","2","2","200312210car","200312210car_3","John Kasay","K/kasayjoh01","0","","0","","CAR","2","2","2003",,,
"262570",":stat_player_game_kick","","","200309070gnb","200309070gnb_4","Josh Bidwell","B/BidwJo20","2","40","79","39.5","GNB","","","2003",,,
"262571",":stat_player_game_kick","","","200312210car","200312210car_4","Todd Sauerbrun","S/SaueTo20","3","51","109","36.3","CAR","","","2003",,,
"262598",":stat_player_game_kick","2","2","200312280det","200312280det_1","Jeff Wilkins","W/wilkijef01","0","","0","","STL","2","2","2003",,,
"262601",":stat_player_game_kick","","","200312280det","200312280det_2","Sean Landeta","L/LandSe20","4","52","187","46.8","STL","","","2003",,,
"262603",":stat_player_game_kick","3","3","200312280det","200312280det_3","Jason Hanson","H/hansojas01","0","","0","","DET","3","3","2003",,,
"262607",":stat_player_game_kick","","","200312280det","200312280det_4","Nick Harris","H/HarrNi20","2","40","73","36.5","DET","","","2003",,,
"262630",":stat_player_game_kick","1","1","200309070sea","200309070sea_1","John Carney","C/carnejoh01","0","","0","","NOR","1","1","2003",,,
