"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"11273",":stat_player_game_return","201911100chi","4","33","0","101","25.3","201911100chi_3","Cordarrelle Patterson","P/PattCo00","0","0","0","0","","CHI",,,
"11292",":stat_player_game_return","201910200oti","1","8","0","8","8.0","201910200oti_1","Desmond King","K/KingDe01","0","0","0","0","","LAC",,,
"11294",":stat_player_game_return","201910200buf","0","0","0","0","","201910200buf_1","Preston Williams","W/WillPr01","1","19","0","19","19.0","MIA",,,
"11299",":stat_player_game_return","201910200oti","0","0","0","0","","201910200oti_2","Adam Humphries","H/HumpAd00","1","14","0","14","14.0","TEN",,,
"11304",":stat_player_game_return","201910200buf","1","12","0","12","12.0","201910200buf_2","Durham Smythe","S/SmytDu00","0","0","0","0","","MIA",,,
"11307",":stat_player_game_return","201910200oti","3","24","0","69","23.0","201910200oti_3","Darius Jennings","J/JennDa00","0","0","0","0","","TEN",,,
"11314",":stat_player_game_return","201910200buf","0","0","0","0","","201910200buf_3","Andre Roberts","R/RobeAn00","3","9","0","22","7.3","BUF",,,
"11315",":stat_player_game_return","201911030rai","3","23","0","64","21.3","201911030rai_1","Jamal Agnew","A/AgneJa00","0","0","0","0","","DET",,,
"11324",":stat_player_game_return","201910200buf","1","45","1","45","45.0","201910200buf_4","Micah Hyde","H/HydeMi00","0","0","0","0","","BUF",,,
"11325",":stat_player_game_return","201911030rai","1","12","0","12","12.0","201911030rai_2","Marvin Hall","H/HallMa02","0","0","0","0","","DET",,,
"11333",":stat_player_game_return","201911030rai","3","31","0","81","27.0","201911030rai_3","Trevor Davis","D/DaviTr03","1","16","0","16","16.0","OAK",,,
"12328",":stat_player_game_return","201910200cin","0","0","0","0","","201910200cin_1","Dede Westbrook","W/WestDe00","2","15","0","15","7.5","JAX",,,
"12334",":stat_player_game_return","201910200cin","0","0","0","0","","201910200cin_2","Alex Erickson","E/EricAl01","1","5","0","5","5.0","CIN",,,
