"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","_start","_end","_type"
"26697",":stat_player_game_kick","","","201912150cin","201912150cin_2","Jake Bailey","B/BailJa00","5","65","241","48.2","NWE","","",,,
"26699",":stat_player_game_kick","","","202001120gnb","202001120gnb_2","Michael Dickson","D/DickMi00","3","64","161","53.7","SEA","","",,,
"26702",":stat_player_game_kick","2","2","201912290nyg","201912290nyg_1","Jake Elliott ","E/ElliJa03","0","0","0","","PHI","4","4",,,
"26704",":stat_player_game_kick","2","2","201912150cin","201912150cin_3","Randy Bullock","B/BullRa00","0","0","0","","CIN","1","1",,,
"26705",":stat_player_game_kick","","","201912150was","201912150was_2","Cameron Johnston","J/JohnCa02","3","54","140","46.7","PHI","","",,,
"26707",":stat_player_game_kick","","","202001120gnb","202001120gnb_3","Mason Crosby","C/CrosMa20","0","0","0","","GNB","4","4",,,
"26709",":stat_player_game_kick","","","201912290nyg","201912290nyg_2","Cameron Johnston","J/JohnCa02","7","51","303","43.3","PHI","","",,,
"26712",":stat_player_game_kick","","","201912150cin","201912150cin_4","Kevin Huber","H/HubeKe20","3","50","125","41.7","CIN","","",,,
"26713",":stat_player_game_kick","1","","201912120rav","201912120rav_1","Sam Ficken","F/FickSa00","0","0","0","","NYJ","2","1",,,
"26714",":stat_player_game_kick","","","202001120gnb","202001120gnb_4","JK Scott","S/ScotJK00","4","55","173","43.3","GNB","","",,,
"26715",":stat_player_game_kick","2","2","201912150was","201912150was_3","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","3","3",,,
"26718",":stat_player_game_kick","1","1","201912290nyg","201912290nyg_3","Aldrick Rosas","R/RosaAl00","0","0","0","","NYG","2","2",,,
"26720",":stat_player_game_kick","","","201912120rav","201912120rav_2","Lac Edwards","E/EdwaLa01","4","59","204","51.0","NYJ","","",,,
"26722",":stat_player_game_kick","","","201912150was","201912150was_4","Tress Way","W/WayxTr00","4","59","196","49.0","WAS","","",,,
"26724",":stat_player_game_kick","2","1","201912150det","201912150det_1","Matt Gay","G/GayxMa00","0","0","0","","TAM","5","5",,,
"26727",":stat_player_game_kick","","","201912290nyg","201912290nyg_4","Riley Dixon","D/DixoRi00","6","53","257","42.8","NYG","","",,,
"26730",":stat_player_game_kick","","","201912120rav","201912120rav_3","Justin Tucker","T/TuckJu00","0","0","0","","BAL","5","4",,,
"26731",":stat_player_game_kick","","","201912150det","201912150det_2","Bradley Pinion","P/PiniBr00","3","40","109","36.3","TAM","","",,,
"26737",":stat_player_game_kick","","","201912120rav","201912120rav_4","Sam Koch","K/KochSa20","4","49","181","45.3","BAL","","",,,
"26739",":stat_player_game_kick","1","1","201912150det","201912150det_3","Matt Prater","P/PratMa20","0","0","0","","DET","2","2",,,
"26743",":stat_player_game_kick","4","2","201912290buf","201912290buf_1","Sam Ficken","F/FickSa00","0","0","0","","NYJ","1","1",,,
"26748",":stat_player_game_kick","","","201912150det","201912150det_4","Sam Martin","M/MartSa01","5","62","258","51.6","DET","","",,,
"26752",":stat_player_game_kick","","","201912290buf","201912290buf_2","Lac Edwards","E/EdwaLa01","5","54","214","42.8","NYJ","","",,,
"26759",":stat_player_game_kick","","","201912290buf","201912290buf_3","Corey Bojorquez","B/BojoCo00","6","51","215","35.8","BUF","","",,,
"26768",":stat_player_game_kick","2","2","201912290buf","201912290buf_4","Stephen Hauschka","H/HausSt00","0","0","0","","BUF","","",,,
"26774",":stat_player_game_kick","3","3","201912080crd","201912080crd_1","Chris Boswell","B/BoswCh00","0","0","0","","PIT","2","2",,,
"26783",":stat_player_game_kick","","","201912080crd","201912080crd_2","Jordan Berry","B/BerrJo00","2","69","96","48.0","PIT","","",,,
"26791",":stat_player_game_kick","1","1","201912080crd","201912080crd_3","Zane Gonzalez","G/GonzZa00","0","0","0","","ARI","2","2",,,
"26799",":stat_player_game_kick","","","201912080crd","201912080crd_4","Andy Lee","L/LeexAn20","3","60","164","54.7","ARI","","",,,
"27808",":stat_player_game_kick","2","2","201909080phi","201909080phi_1","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","3","3",,,
"27813",":stat_player_game_kick","","","201909080phi","201909080phi_2","Tress Way","W/WayxTr00","5","58","272","54.4","WAS","","",,,
"27818",":stat_player_game_kick","1","1","201909080phi","201909080phi_3","Jake Elliott ","E/ElliJa03","0","0","0","","PHI","3","3",,,
"27822",":stat_player_game_kick","1","1","202002020kan","202002020kan_1","Harrison Butker","B/ButkHa00","0","0","0","","KAN","4","4",,,
"27824",":stat_player_game_kick","","","201909080phi","201909080phi_4","Cameron Johnston","J/JohnCa02","3","54","154","51.3","PHI","","",,,
"27829",":stat_player_game_kick","","","202002020kan","202002020kan_2","Dustin Colquitt","C/ColqDu20","2","51","100","50.0","KAN","","",,,
"27834",":stat_player_game_kick","2","2","202002020kan","202002020kan_3","Robbie Gould","G/gouldrob01","0","0","0","","SFO","2","2",,,
"27838",":stat_player_game_kick","2","2","201909080cle","201909080cle_1","Cairo Santos","S/SantCa01","0","0","0","","TEN","5","5",,,
"27842",":stat_player_game_kick","","","202002020kan","202002020kan_4","Mitch Wishnowsky","W/WishMi00","2","46","86","43.0","SFO","","",,,
"27845",":stat_player_game_kick","","","201909080cle","201909080cle_2","Brett Kern","K/KernBr20","6","70","277","46.2","TEN","","",,,
"27847",":stat_player_game_kick","1","1","202001110sfo","202001110sfo_1","Dan Bailey","B/BailDa00","0","0","0","","MIN","1","1",,,
"27853",":stat_player_game_kick","","","201909080cle","201909080cle_3","Austin Seibert","S/SeibAu00","0","0","0","","CLE","2","1",,,
"27854",":stat_player_game_kick","","","202001110sfo","202001110sfo_2","Britton Colquitt","C/ColqBr00","6","61","290","48.3","MIN","","",,,
"27859",":stat_player_game_kick","","","201909080cle","201909080cle_4","Jamie Gillan","G/GillJa00","5","52","233","46.6","CLE","","",,,
"27860",":stat_player_game_kick","2","2","202001110sfo","202001110sfo_3","Robbie Gould","G/gouldrob01","0","0","0","","SFO","3","3",,,
"27869",":stat_player_game_kick","","","202001110sfo","202001110sfo_4","Mitch Wishnowsky","W/WishMi00","4","56","186","46.5","SFO","","",,,
"27870",":stat_player_game_kick","1","","201912220was","201912220was_1","Aldrick Rosas","R/RosaAl00","0","0","0","","NYG","5","5",,,
"27875",":stat_player_game_kick","","","201912220was","201912220was_2","Riley Dixon","D/DixoRi00","3","53","135","45.0","NYG","","",,,
"27884",":stat_player_game_kick","","","201912220was","201912220was_3","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","5","5",,,
"27889",":stat_player_game_kick","","","201912220was","201912220was_4","Tress Way","W/WayxTr00","5","58","236","47.2","WAS","","",,,
"27911",":stat_player_game_kick","1","1","201912290rav","201912290rav_1","Chris Boswell","B/BoswCh00","0","0","0","","PIT","1","1",,,
"27922",":stat_player_game_kick","","","201912290rav","201912290rav_2","Jordan Berry","B/BerrJo00","5","54","244","48.8","PIT","","",,,
"27925",":stat_player_game_kick","1","1","201912220nyj","201912220nyj_1","Chris Boswell","B/BoswCh00","0","0","0","","PIT","1","1",,,
"27930",":stat_player_game_kick","4","4","201912290rav","201912290rav_3","Justin Tucker","T/TuckJu00","0","0","0","","BAL","2","2",,,
"27934",":stat_player_game_kick","","","201912220nyj","201912220nyj_2","Jordan Berry","B/BerrJo00","7","59","279","39.9","PIT","","",,,
"27937",":stat_player_game_kick","","","201912290rav","201912290rav_4","Sam Koch","K/KochSa20","3","54","140","46.7","BAL","","",,,
"27940",":stat_player_game_kick","","","201912290car","201912290car_1","Wil Lutz","L/LutzWi00","0","0","0","","NOR","6","6",,,
"27942",":stat_player_game_kick","3","3","201912220nyj","201912220nyj_3","Sam Ficken","F/FickSa00","0","0","0","","NYJ","1","1",,,
"27949",":stat_player_game_kick","","","201912290car","201912290car_2","Thomas Morstead","M/MorsTh00","6","58","283","47.2","NOR","","",,,
"27951",":stat_player_game_kick","","","201912220nyj","201912220nyj_4","Lac Edwards","E/EdwaLa01","6","63","275","45.8","NYJ","","",,,
"27959",":stat_player_game_kick","1","1","201912290car","201912290car_3","Joey Slye","S/SlyeJo00","0","0","0","","CAR","1","1",,,
"27962",":stat_player_game_kick","2","2","202001050nor","202001050nor_1","Dan Bailey","B/BailDa00","0","0","0","","MIN","2","2",,,
"27968",":stat_player_game_kick","","","201912290car","201912290car_4","Michael Palardy","P/PalaMi00","7","62","347","49.6","CAR","","",,,
"27971",":stat_player_game_kick","","","202001050nor","202001050nor_2","Britton Colquitt","C/ColqBr00","6","57","298","49.7","MIN","","",,,
"27976",":stat_player_game_kick","3","2","202001050nor","202001050nor_3","Wil Lutz","L/LutzWi00","0","0","0","","NOR","2","2",,,
"27986",":stat_player_game_kick","","","202001050nor","202001050nor_4","Thomas Morstead","M/MorsTh00","5","50","229","45.8","NOR","","",,,
"28023",":stat_player_game_kick","1","1","201912220oti","201912220oti_1","Wil Lutz","L/LutzWi00","0","0","0","","NOR","5","5",,,
"28028",":stat_player_game_kick","","","201912220oti","201912220oti_2","Thomas Morstead","M/MorsTh00","5","53","244","48.8","NOR","","",,,
"28036",":stat_player_game_kick","","","201912220oti","201912220oti_3","Greg Joseph","J/JoseGr00","0","0","0","","TEN","4","4",,,
"28045",":stat_player_game_kick","","","201912220oti","201912220oti_4","Brett Kern","K/KernBr20","7","55","299","42.7","TEN","","",,,
"29002",":stat_player_game_kick","","","201909190jax","201909190jax_1","Cairo Santos","S/SantCa01","0","0","0","","TEN","1","1",,,
"29009",":stat_player_game_kick","","","201909190jax","201909190jax_2","Brett Kern","K/KernBr20","8","63","372","46.5","TEN","","",,,
"29019",":stat_player_game_kick","2","2","201909190jax","201909190jax_3","Josh Lambo","L/LambJo00","0","0","0","","JAX","2","2",,,
"29021",":stat_player_game_kick","","","201909190jax","201909190jax_4","Logan Cooke","C/CookLo00","6","55","252","42.0","JAX","","",,,
"29029",":stat_player_game_kick","1","1","201912010clt","201912010clt_1","Ryan Succop","S/SuccRy44","0","0","0","","TEN","4","4",,,
"29035",":stat_player_game_kick","","","201912010clt","201912010clt_2","Brett Kern","K/KernBr20","5","65","244","48.8","TEN","","",,,
"29042",":stat_player_game_kick","4","1","201912010clt","201912010clt_3","Adam Vinatieri","V/vinatada01","0","0","0","","IND","2","2",,,
"29046",":stat_player_game_kick","","","201912010clt","201912010clt_4","Rigoberto Sanchez","S/SancRi00","3","51","148","49.3","IND","","",,,
"29070",":stat_player_game_kick","","","201911030buf","201911030buf_1","Tress Way","W/WayxTr00","5","46","172","34.4","WAS","","",,,
"29076",":stat_player_game_kick","3","3","201911030buf","201911030buf_2","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","","",,,
"29080",":stat_player_game_kick","1","1","201911030buf","201911030buf_3","Stephen Hauschka","H/HausSt00","0","0","0","","BUF","3","3",,,
"29085",":stat_player_game_kick","","","201911030buf","201911030buf_4","Corey Bojorquez","B/BojoCo00","3","59","120","40.0","BUF","","",,,
"29092",":stat_player_game_kick","","","201910240min","201910240min_1","Tress Way","W/WayxTr00","2","63","107","53.5","WAS","","",,,
"29094",":stat_player_game_kick","3","","201911030car","201911030car_1","Ryan Succop","S/SuccRy44","0","0","0","","TEN","2","2",,,
"29095",":stat_player_game_kick","","","201910130den","201910130den_1","Brett Kern","K/KernBr20","9","61","424","47.1","TEN","","",,,
"29097",":stat_player_game_kick","3","3","201910240min","201910240min_2","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","","",,,
"29099",":stat_player_game_kick","","","201911030car","201911030car_2","Brett Kern","K/KernBr20","3","53","139","46.3","TEN","","",,,
"29104",":stat_player_game_kick","3","3","201910130den","201910130den_2","Brandon McManus","M/McMaBr01","0","0","0","","DEN","1","1",,,
"29105",":stat_player_game_kick","4","4","201910240min","201910240min_3","Dan Bailey","B/BailDa00","0","0","0","","MIN","1","1",,,
"29107",":stat_player_game_kick","2","1","201911030car","201911030car_3","Joey Slye","S/SlyeJo00","0","0","0","","CAR","4","3",,,
"29109",":stat_player_game_kick","","","201910130den","201910130den_3","Colby Wadman","W/WadmCo00","8","56","401","50.1","DEN","","",,,
"29114",":stat_player_game_kick","","","201911030car","201911030car_4","Michael Palardy","P/PalaMi00","4","48","155","38.8","CAR","","",,,
"29122",":stat_player_game_kick","4","3","201912010car","201912010car_1","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","2","2",,,
"29125",":stat_player_game_kick","1","1","201909290atl","201909290atl_1","Cairo Santos","S/SantCa01","0","0","0","","TEN","3","3",,,
"29131",":stat_player_game_kick","","","201909290atl","201909290atl_2","Brett Kern","K/KernBr20","5","53","225","45.0","TEN","","",,,
"29132",":stat_player_game_kick","","","201912010car","201912010car_2","Tress Way","W/WayxTr00","5","79","290","58.0","WAS","","",,,
"29137",":stat_player_game_kick","","","201912010car","201912010car_3","Joey Slye","S/SlyeJo00","0","0","0","","CAR","3","3",,,
"29140",":stat_player_game_kick","2","1","201909290atl","201909290atl_3","Matt Bryant","B/bryanmat01","0","0","0","","ATL","1","1",,,
"29145",":stat_player_game_kick","","","201912010car","201912010car_4","Michael Palardy","P/PalaMi00","8","51","338","42.3","CAR","","",,,
"29146",":stat_player_game_kick","","","201909290nyg","201909290nyg_1","Tress Way","W/WayxTr00","6","66","319","53.2","WAS","","",,,
"29148",":stat_player_game_kick","","","201909290atl","201909290atl_4","Matthew Bosher","B/BoshMa00","3","50","129","43.0","ATL","","",,,
"29155",":stat_player_game_kick","1","1","201909290nyg","201909290nyg_2","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","","",,,
"29163",":stat_player_game_kick","1","1","201909290nyg","201909290nyg_3","Aldrick Rosas","R/RosaAl00","0","0","0","","NYG","3","3",,,
"29171",":stat_player_game_kick","","","201909290nyg","201909290nyg_4","Riley Dixon","D/DixoRi00","3","57","165","55.0","NYG","","",,,
"29210",":stat_player_game_kick","2","1","201910130mia","201910130mia_1","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","2","2",,,
"29217",":stat_player_game_kick","","","201910130mia","201910130mia_2","Tress Way","W/WayxTr00","7","53","315","45.0","WAS","","",,,
"29226",":stat_player_game_kick","1","1","201910130mia","201910130mia_3","Jason Sanders","S/SandJa00","0","0","0","","MIA","1","1",,,
"29234",":stat_player_game_kick","","","201910130mia","201910130mia_4","Matt Haack","H/HaacMa00","7","60","310","44.3","MIA","","",,,
"30036",":stat_player_game_kick","3","3","201912290dal","201912290dal_1","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","1","1",,,
"30038",":stat_player_game_kick","","","201912290dal","201912290dal_2","Tress Way","W/WayxTr00","4","70","227","56.8","WAS","","",,,
"30044",":stat_player_game_kick","4","4","201912290dal","201912290dal_3","Kai Forbath","F/ForbKa00","0","0","0","","DAL","5","5",,,
"30049",":stat_player_game_kick","","","201912290dal","201912290dal_4","Chris Jones","J/JoneCh02","2","44","62","31.0","DAL","","",,,
"30054",":stat_player_game_kick","1","1","201912080gnb","201912080gnb_1","Dustin Hopkins","H/HopkDu00","0","0","0","","WAS","1","",,,
"30060",":stat_player_game_kick","","","201912080gnb","201912080gnb_2","Tress Way","W/WayxTr00","6","54","264","44.0","WAS","","",,,
"30063",":stat_player_game_kick","2","2","201912080gnb","201912080gnb_3","Mason Crosby","C/CrosMa20","0","0","0","","GNB","2","2",,,
"30068",":stat_player_game_kick","","","201912080gnb","201912080gnb_4","JK Scott","S/ScotJK00","4","44","161","40.3","GNB","","",,,
"30113",":stat_player_game_kick","","","202001110rav","202001110rav_1","Greg Joseph","J/JoseGr00","0","0","0","","TEN","4","4",,,
"30119",":stat_player_game_kick","","","202001110rav","202001110rav_2","Brett Kern","K/KernBr20","6","63","315","52.5","TEN","","",,,
"30122",":stat_player_game_kick","","","202001110rav","202001110rav_3","Sam Koch","K/KochSa20","1","44","44","44.0","BAL","","",,,
"30123",":stat_player_game_kick","1","1","202001190kan","202001190kan_1","Greg Joseph","J/JoseGr00","0","0","0","","TEN","3","3",,,
"30129",":stat_player_game_kick","2","2","202001110rav","202001110rav_4","Justin Tucker","T/TuckJu00","0","0","0","","BAL","","",,,
"30130",":stat_player_game_kick","","","202001190kan","202001190kan_2","Brett Kern","K/KernBr20","3","53","139","46.3","TEN","","",,,
"30134",":stat_player_game_kick","","","202001190kan","202001190kan_3","Harrison Butker","B/ButkHa00","0","0","0","","KAN","5","5",,,
"30139",":stat_player_game_kick","1","","201912080rai","201912080rai_1","Ryan Succop","S/SuccRy44","0","0","0","","TEN","6","6",,,
"30140",":stat_player_game_kick","","","202001190kan","202001190kan_4","Dustin Colquitt","C/ColqDu20","3","46","122","40.7","KAN","","",,,
"30143",":stat_player_game_kick","","","201912080rai","201912080rai_2","Brett Kern","K/KernBr20","2","55","102","51.0","TEN","","",,,
"30145",":stat_player_game_kick","","","202001040nwe","202001040nwe_1","Greg Joseph","J/JoseGr00","0","0","0","","TEN","2","2",,,
"30148",":stat_player_game_kick","","","201912080rai","201912080rai_3","Daniel Carlson","C/CarlDa00","0","0","0","","OAK","3","3",,,
"30149",":stat_player_game_kick","","","202001040nwe","202001040nwe_2","Brett Kern","K/KernBr20","6","58","275","45.8","TEN","","",,,
"30153",":stat_player_game_kick","","","201912080rai","201912080rai_4","AJ Cole III","C/ColeAJ01","5","55","221","44.2","OAK","","",,,
"30154",":stat_player_game_kick","2","2","202001040nwe","202001040nwe_3","Nick Folk","F/FolkNi20","0","0","0","","NWE","1","1",,,
"30160",":stat_player_game_kick","","","202001040nwe","202001040nwe_4","Jake Bailey","B/BailJa00","5","61","230","46.0","NWE","","",,,
"30182",":stat_player_game_kick","","","201912290htx","201912290htx_1","Greg Joseph","J/JoseGr00","0","0","0","","TEN","5","5",,,
"30186",":stat_player_game_kick","","","201912290htx","201912290htx_2","Brett Kern","K/KernBr20","4","58","189","47.3","TEN","","",,,
"30192",":stat_player_game_kick","","","201912290htx","201912290htx_3","Ka'imi Fairbairn","F/FairKa01","0","0","0","","HOU","2","2",,,
