"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"4723",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911100tam","201911100tam_30","Jason Pierre-Paul","P/PierJa99","1","0","1","0.0","3","3","50.0%","TAM",,,
"4724",":stat_player_game_def_adv","1","","0","0.0%","","","0","39.6","2","13.5","","","0.0","201911170rai","201911170rai_27","Tahir Whitehead","W/WhitTa00","0","0","0","0.0","4","0","0.0%","OAK",,,
"5536",":stat_player_game_def_adv","1","79","9","90.0%","0","142","0","118.7","10","8.0","63","15.8","14.2","201911170mia","201911170mia_1","Tre'Davious White","W/WhitTr01","0","0","0","0.0","6","1","14.3%","BUF",,,
"5546",":stat_player_game_def_adv","2","21","5","71.4%","0","45","0","88.4","7","4.1","24","9.0","6.4","201911240buf","201911240buf_1","Todd Davis","D/DaviTo01","0","0","0","0.0","13","2","13.3%","DEN",,,
"5547",":stat_player_game_def_adv","0","40","5","100.0%","0","58","0","115.0","5","8.0","18","11.6","11.6","201911170mia","201911170mia_2","Levi Wallace","W/WallLe00","0","0","0","0.0","4","1","20.0%","BUF",,,
"5553",":stat_player_game_def_adv","7","27","6","100.0%","0","51","1","62.5","6","4.5","24","8.5","8.5","201911170sfo","201911170sfo_1","Jordan Hicks","H/HickJo00","2","0","1","1.0","12","1","7.7%","ARI",,,
"5558",":stat_player_game_def_adv","0","21","3","75.0%","1","31","0","136.5","4","8.5","10","10.3","7.8","201911240buf","201911240buf_2","Davontae Harris","H/HarrDa05","0","0","0","0.0","4","1","20.0%","DEN",,,
"5561",":stat_player_game_def_adv","1","28","6","85.7%","2","34","0","126.5","7","7.0","6","5.7","4.9","201911170sfo","201911170sfo_2","Budda Baker","B/BakeBu00","0","0","0","0.0","13","1","7.1%","ARI",,,
"5567",":stat_player_game_def_adv","3","8","4","80.0%","0","19","0","82.5","5","4.4","11","4.8","3.8","201911170mia","201911170mia_3","Taron Johnson","J/JohnTa01","1","1","0","0.0","6","1","14.3%","BUF",,,
"5570",":stat_player_game_def_adv","1","29","5","100.0%","0","121","0","118.7","5","5.8","92","24.2","24.2","201911170sfo","201911170sfo_3","Kevin Peterson","P/PeteKe01","0","0","0","0.0","1","2","66.7%","ARI",,,
"5579",":stat_player_game_def_adv","0","43","4","50.0%","0","54","0","71.9","8","9.1","11","13.5","6.8","201911170sfo","201911170sfo_4","Patrick Peterson","P/PetePa00","0","0","0","0.0","4","0","0.0%","ARI",,,
"5580",":stat_player_game_def_adv","10","16","3","50.0%","0","28","0","63.2","6","9.8","12","9.3","4.7","201911170mia","201911170mia_4","Tremaine Edmunds","E/EdmuTr01","2","0","1","0.5","12","0","0.0%","BUF",,,
"5583",":stat_player_game_def_adv","0","38","2","66.7%","1","39","0","149.3","3","20.0","1","19.5","13.0","201911240buf","201911240buf_3","Chris Harris Jr.","H/HarrCh01","0","0","0","0.0","6","0","0.0%","DEN",,,
"5589",":stat_player_game_def_adv","0","13","3","50.0%","0","18","0","56.2","6","10.5","5","6.0","3.0","201911170mia","201911170mia_5","Kevin Johnson","J/JohnKe04","0","0","0","0.0","4","0","0.0%","BUF",,,
"5592",":stat_player_game_def_adv","0","14","2","66.7%","0","20","0","85.4","3","9.3","6","10.0","6.7","201911240buf","201911240buf_4","Kareem Jackson","J/JackKa99","0","0","0","0.0","7","2","22.2%","DEN",,,
"5597",":stat_player_game_def_adv","3","2","5","83.3%","0","31","0","88.2","6","1.2","29","6.2","5.2","201911280det","201911280det_1","Roquan Smith","S/SmitRo07","2","0","0","2.0","16","1","5.9%","CHI",,,
"5600",":stat_player_game_def_adv","9","11","2","40.0%","0","12","0","47.9","5","2.4","1","6.0","2.4","201911170mia","201911170mia_6","Matt Milano","M/MilaMa00","1","0","0","0.5","7","0","0.0%","BUF",,,
"5603",":stat_player_game_def_adv","1","6","1","100.0%","0","30","0","118.7","1","6.0","24","30.0","30.0","201911240buf","201911240buf_5","Alexander Johnson","J/JohnAl01","1","0","1","0.0","15","0","0.0%","DEN",,,
"5605",":stat_player_game_def_adv","15","0","3","100.0%","1","39","0","158.3","3","0.0","39","13.0","13.0","201911170sfo","201911170sfo_5","Chandler Jones","J/JoneCh03","2","0","1","1.0","4","3","42.9%","ARI",,,
"5607",":stat_player_game_def_adv","1","30","5","55.6%","0","45","0","69.2","9","6.6","15","9.0","5.0","201911280det","201911280det_2","Buster Skrine","S/SkriBu00","0","0","0","0.0","3","2","40.0%","CHI",,,
"5610",":stat_player_game_def_adv","0","-6","2","100.0%","0","-3","0","79.2","2","-3.0","3","-1.5","-1.5","201911170mia","201911170mia_7","Star Lotulelei","L/LotuSt00","1","0","0","1.0","3","0","0.0%","BUF",,,
"5612",":stat_player_game_def_adv","7","-7","4","80.0%","0","18","0","81.7","5","-1.4","25","4.5","3.6","201912010pit","201912010pit_1","Mack Wilson","W/WilsMa03","0","0","0","0.0","8","1","11.1%","CLE",,,
"5615",":stat_player_game_def_adv","1","12","3","100.0%","0","12","1","43.7","3","4.0","0","4.0","4.0","201911170sfo","201911170sfo_6","Jalen Thompson","T/ThomJa04","0","0","0","0.0","5","0","0.0%","ARI",,,
"5616",":stat_player_game_def_adv","3","17","8","72.7%","0","42","0","78.6","11","8.3","25","5.3","3.8","201911250ram","201911250ram_1","Marlon Humphrey","H/HumpMa00","0","0","0","0.0","5","0","0.0%","BAL",,,
"5617",":stat_player_game_def_adv","0","12","1","50.0%","0","12","1","29.2","2","8.5","0","12.0","6.0","201911240buf","201911240buf_6","Justin Simmons","S/SimmJu00","0","0","0","0.0","8","0","0.0%","DEN",,,
"5618",":stat_player_game_def_adv","0","94","5","62.5%","1","144","0","145.8","8","19.4","50","28.8","18.0","201911280det","201911280det_3","Prince Amukamara","A/AmukPr00","0","0","0","0.0","5","0","0.0%","CHI",,,
