"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"43552",":stat_player_game_return","201209300crd","1","23","0","23","23.0","201209300crd_1","Marcus Thigpen","T/ThigMa00","1","0","0","0","0.0","MIA","2012",,,
"43556",":stat_player_game_return","201209160mia","0","0","0","0","","201209160mia_1","Phillip Adams","A/AdamPh00","5","47","0","58","11.6","OAK","2012",,,
"43557",":stat_player_game_return","201209160jax","3","38","0","79","26.3","201209160jax_3","Jalen Parmele","P/ParmJa00","0","0","0","0","","JAX","2012",,,
"43559",":stat_player_game_return","201209300crd","0","0","0","0","","201209300crd_2","Davone Bess","B/BessDa00","1","9","0","9","9.0","MIA","2012",,,
"43562",":stat_player_game_return","201209160mia","2","25","0","41","20.5","201209160mia_2","Mike Goodson","G/GoodMi00","0","0","0","0","","OAK","2012",,,
"43563",":stat_player_game_return","201209230oti","2","23","0","42","21.0","201209230oti_1","Stefan Logan","L/LogaSt00","0","0","0","0","","DET","2012",,,
"43564",":stat_player_game_return","201209300crd","0","0","0","0","","201209300crd_3","Patrick Peterson","P/PetePa00","4","8","0","18","4.5","ARI","2012",,,
"43567",":stat_player_game_return","201209230oti","4","105","1","174","43.5","201209230oti_2","Darius Reynaud","R/ReynDa00","3","6","0","8","2.7","TEN","2012",,,
"43568",":stat_player_game_return","201209160mia","1","13","0","13","13.0","201209160mia_3","Coye Francies","F/FranCo99","0","0","0","0","","OAK","2012",,,
"43571",":stat_player_game_return","201209300crd","3","41","0","90","30.0","201209300crd_4","William Powell","P/PoweWi00","0","0","0","0","","ARI","2012",,,
"43574",":stat_player_game_return","201209160mia","0","0","0","0","","201209160mia_4","Marcus Thigpen","T/ThigMa00","5","21","0","74","14.8","MIA","2012",,,
"43576",":stat_player_game_return","201209230nor","3","27","0","58","19.3","201209230nor_1","Javier Arenas","A/ArenJa99","3","24","0","40","13.3","KAN","2012",,,
"43579",":stat_player_game_return","201209160mia","0","0","0","0","","201209160mia_5","Davone Bess","B/BessDa00","1","11","0","11","11.0","MIA","2012",,,
"43580",":stat_player_game_return","201209230oti","0","0","0","0","","201209230oti_3","Tommie Campbell","C/CampTo00","0","65","1","65","","TEN","2012",,,
"43583",":stat_player_game_return","201209230nor","2","23","0","37","18.5","201209230nor_2","Shaun Draughn","D/DrauSh00","0","0","0","0","","KAN","2012",,,
"43587",":stat_player_game_return","201209230nor","4","38","0","107","26.8","201209230nor_3","Darren Sproles","S/SproDa00","1","2","0","2","2.0","NOR","2012",,,
"43590",":stat_player_game_return","201209230nor","1","0","0","0","0.0","201209230nor_4","Jed Collins","C/CollJe01","0","0","0","0","","NOR","2012",,,
"43591",":stat_player_game_return","201209300den","0","0","0","0","","201209300den_1","Jim Leonhard","L/LeonJi23","5","16","0","42","8.4","DEN","2012",,,
"43593",":stat_player_game_return","201209230chi","0","0","0","0","","201209230chi_1","Danny Amendola","A/AmenDa00","2","17","0","20","10.0","STL","2012",,,
"43596",":stat_player_game_return","201209300den","1","16","0","16","16.0","201209300den_2","Omar Bolden","B/BoldOm00","0","0","0","0","","DEN","2012",,,
"43597",":stat_player_game_return","201209230chi","1","24","0","24","24.0","201209230chi_2","Isaiah Pead","P/PeadIs00","0","0","0","0","","STL","2012",,,
"43599",":stat_player_game_return","201209230chi","3","37","0","85","28.3","201209230chi_3","Devin Hester","H/HestDe99","3","19","0","39","13.0","CHI","2012",,,
"43608",":stat_player_game_return","201210140phi","2","15","0","26","13.0","201210140phi_1","Stefan Logan","L/LogaSt00","4","48","0","72","18.0","DET","2012",,,
"43610",":stat_player_game_return","201210140phi","0","0","0","0","","201210140phi_2","Mardy Gilyard","G/GilyMa00","2","11","0","15","7.5","PHI","2012",,,
"43612",":stat_player_game_return","201210140phi","0","0","0","0","","201210140phi_3","DeSean Jackson","J/JackDe00","1","-3","0","-3","-3.0","PHI","2012",,,
"43614",":stat_player_game_return","201209230den","0","0","0","0","","201209230den_1","Trindon Holliday","H/HollTr00","4","13","0","19","4.8","HOU","2012",,,
"43615",":stat_player_game_return","201210140phi","5","31","0","122","24.4","201210140phi_4","Brandon Boykin","B/BoykBr00","0","0","0","0","","PHI","2012",,,
"43617",":stat_player_game_return","201209230den","1","0","0","0","0.0","201209230den_2","James Casey","C/CaseJa00","0","0","0","0","","HOU","2012",,,
"43619",":stat_player_game_return","201209230den","1","18","0","18","18.0","201209230den_3","Jim Leonhard","L/LeonJi23","3","13","0","16","5.3","DEN","2012",,,
"43621",":stat_player_game_return","201209230den","0","0","0","0","","201209230den_4","Eric Decker","D/DeckEr00","1","13","0","13","13.0","DEN","2012",,,
"43623",":stat_player_game_return","201209230den","3","25","0","66","22.0","201209230den_5","Omar Bolden","B/BoldOm00","0","0","0","0","","DEN","2012",,,
"43624",":stat_player_game_return","201209230clt","1","20","0","20","20.0","201209230clt_1","Mike Thomas","T/ThomMi01","3","4","0","8","2.7","JAX","2012",,,
"43625",":stat_player_game_return","201209230clt","1","26","0","26","26.0","201209230clt_2","T.Y. Hilton","H/HiltT.00","4","14","0","29","7.3","IND","2012",,,
"43626",":stat_player_game_return","201209230clt","4","40","0","113","28.3","201209230clt_3","Cassius Vaughn","V/VaugCa00","0","0","0","0","","IND","2012",,,
"44140",":stat_player_game_return","201210140atl","0","0","0","0","","201210140atl_1","Phillip Adams","A/AdamPh00","1","0","0","0","0.0","OAK","2012",,,
"44144",":stat_player_game_return","201210140atl","0","0","0","0","","201210140atl_2","Denarius Moore","M/MoorDe02","1","0","0","0","0.0","OAK","2012",,,
"44149",":stat_player_game_return","201210140atl","2","25","0","25","12.5","201210140atl_3","Mike Goodson","G/GoodMi00","0","0","0","0","","OAK","2012",,,
"44152",":stat_player_game_return","201210140atl","1","29","0","29","29.0","201210140atl_4","Jacquizz Rodgers","R/RodgJa00","0","0","0","0","","ATL","2012",,,
"44184",":stat_player_game_return","201210140tam","0","0","0","0","","201210140tam_1","Javier Arenas","A/ArenJa99","2","10","0","11","5.5","KAN","2012",,,
"44187",":stat_player_game_return","201210140tam","0","0","0","0","","201210140tam_2","Roscoe Parrish","P/ParrRo00","3","9","0","21","7.0","TAM","2012",,,
"44194",":stat_player_game_return","201210140tam","2","23","0","36","18.0","201210140tam_3","Arrelious Benn","B/BennAr00","0","0","0","0","","TAM","2012",,,
"44204",":stat_player_game_return","201210280gnb","2","18","0","35","17.5","201210280gnb_1","Micheal Spurlock","S/SpurMi00","1","0","0","0","0.0","JAX","2012",,,
"44210",":stat_player_game_return","201210280gnb","2","25","0","49","24.5","201210280gnb_2","Keith Toston","T/TostKe00","0","0","0","0","","JAX","2012",,,
"44211",":stat_player_game_return","201210070cin","1","30","0","30","30.0","201210070cin_1","Marcus Thigpen","T/ThigMa00","2","11","0","15","7.5","MIA","2012",,,
"44212",":stat_player_game_return","201210280gnb","2","29","0","57","28.5","201210280gnb_3","Randall Cobb","C/CobbRa00","1","0","0","0","0.0","GNB","2012",,,
"44213",":stat_player_game_return","201210070cin","0","0","0","0","","201210070cin_2","Reshad Jones","J/JoneRe99","1","0","0","0","0.0","MIA","2012",,,
"44219",":stat_player_game_return","201210070cin","1","15","0","15","15.0","201210070cin_3","Adam Jones","J/JonePa20","2","15","0","25","12.5","CIN","2012",,,
"44223",":stat_player_game_return","201210070cin","1","34","0","34","34.0","201210070cin_4","Brandon Tate","T/TateBr00","0","0","0","0","","CIN","2012",,,
"44233",":stat_player_game_return","201210220chi","2","25","0","44","22.0","201210220chi_1","Stefan Logan","L/LogaSt00","6","5","0","7","1.2","DET","2012",,,
"44237",":stat_player_game_return","201210220chi","0","0","0","0","","201210220chi_2","Earl Bennett","B/BennEa00","1","2","0","2","2.0","CHI","2012",,,
"44239",":stat_player_game_return","201210220chi","0","0","0","0","","201210220chi_3","Devin Hester","H/HestDe99","1","5","0","5","5.0","CHI","2012",,,
"44243",":stat_player_game_return","201210220chi","1","27","0","27","27.0","201210220chi_4","Eric Weems","W/WeemEr00","0","0","0","0","","CHI","2012",,,
"44244",":stat_player_game_return","201209300kan","0","0","0","0","","201209300kan_1","Eddie Royal","R/RoyaEd00","1","0","0","0","0.0","SDG","2012",,,
"44247",":stat_player_game_return","201209300kan","2","33","0","53","26.5","201209300kan_2","Richard Goodman","G/GoodRi00","0","0","0","0","","SDG","2012",,,
"44251",":stat_player_game_return","201209300kan","0","0","0","0","","201209300kan_3","Javier Arenas","A/ArenJa99","3","18","0","39","13.0","KAN","2012",,,
"44254",":stat_player_game_return","201209300kan","3","29","0","76","25.3","201209300kan_4","Shaun Draughn","D/DrauSh00","0","0","0","0","","KAN","2012",,,
"44258",":stat_player_game_return","201209300kan","1","33","0","33","33.0","201209300kan_5","Cyrus Gray","G/GrayCy00","0","0","0","0","","KAN","2012",,,
"44261",":stat_player_game_return","201210140nyj","2","20","0","35","17.5","201210140nyj_1","LaVon Brazill","B/BrazLa00","0","0","0","0","","IND","2012",,,
"44263",":stat_player_game_return","201210140nyj","2","19","0","36","18.0","201210140nyj_2","Cassius Vaughn","V/VaugCa00","0","0","0","0","","IND","2012",,,
"44265",":stat_player_game_return","201210140nyj","1","20","0","20","20.0","201210140nyj_3","Antonio Cromartie","C/CromAn20","0","0","0","0","","NYJ","2012",,,
"44267",":stat_player_game_return","201210080nyj","3","14","0","33","11.0","201210080nyj_1","Trindon Holliday","H/HollTr00","1","3","0","3","3.0","HOU","2012",,,
"44268",":stat_player_game_return","201210140nyj","1","34","0","34","34.0","201210140nyj_4","Joe McKnight","M/McKnJo00","0","0","0","0","","NYJ","2012",,,
"44270",":stat_player_game_return","201210080nyj","4","100","1","141","35.3","201210080nyj_2","Joe McKnight","M/McKnJo00","0","0","0","0","","NYJ","2012",,,
"44272",":stat_player_game_return","201210080nyj","1","19","0","19","19.0","201210080nyj_3","Eric Smith","S/SmitEr22","0","0","0","0","","NYJ","2012",,,
"44278",":stat_player_game_return","201209240sea","1","23","0","23","23.0","201209240sea_1","Randall Cobb","C/CobbRa00","3","6","0","12","4.0","GNB","2012",,,
"44280",":stat_player_game_return","201209240sea","2","21","0","42","21.0","201209240sea_2","Leon Washington","W/WashLe00","2","6","0","5","2.5","SEA","2012",,,
"44284",":stat_player_game_return","201210210rai","2","22","0","40","20.0","201210210rai_1","Micheal Spurlock","S/SpurMi00","4","28","0","44","11.0","JAX","2012",,,
"44285",":stat_player_game_return","201210210rai","1","14","0","14","14.0","201210210rai_2","Mike Thomas","T/ThomMi01","0","0","0","0","","JAX","2012",,,
"44286",":stat_player_game_return","201210210rai","0","0","0","0","","201210210rai_3","Phillip Adams","A/AdamPh00","4","5","0","6","1.5","OAK","2012",,,
"44287",":stat_player_game_return","201210210rai","0","0","0","0","","201210210rai_4","Denarius Moore","M/MoorDe02","1","0","0","0","0.0","OAK","2012",,,
"44288",":stat_player_game_return","201210210rai","4","45","0","99","24.8","201210210rai_5","Mike Goodson","G/GoodMi00","0","0","0","0","","OAK","2012",,,
"44777",":stat_player_game_return","201211040jax","0","0","0","0","","201211040jax_1","Aaron Ross","R/RossAa99","1","5","0","5","5.0","JAX","2012",,,
"44780",":stat_player_game_return","201211040jax","0","0","0","0","","201211040jax_2","Micheal Spurlock","S/SpurMi00","1","7","0","7","7.0","JAX","2012",,,
"44788",":stat_player_game_return","201211040jax","2","25","0","48","24.0","201211040jax_3","Jalen Parmele","P/ParmJa00","0","0","0","0","","JAX","2012",,,
"44791",":stat_player_game_return","201211040jax","1","0","0","0","0.0","201211040jax_4","George Selvie","S/SelvGe99","0","0","0","0","","JAX","2012",,,
"44829",":stat_player_game_return","201210140mia","0","0","0","0","","201210140mia_1","Jackrabbit Jenkins","J/JenkJa03","6","14","0","21","3.5","STL","2012",,,
