"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","year","_start","_end","_type"
"145424",":stat_player_game_def_adv","0","21","1","20.0%","0","23","0","46.2","5","13.2","2","23.0","4.6","202011150mia","202011150mia_6","Casey Hayward","H/HaywCa00","0","0","0","0.0","1","0","0.0%","LAC","2020",,,
"145429",":stat_player_game_def_adv","3","","0","","","","0","","0","","","","","202011230tam","202011230tam_12","Terrell Lewis","L/LewiTe00","1","0","1","0.0","0","0","","LAR","2020",,,
"145434",":stat_player_game_def_adv","2","0","1","50.0%","0","1","0","56.2","2","7.0","1","1.0","0.5","202011150mia","202011150mia_7","Rayshawn Jenkins","J/JenkRa00","0","0","0","0.0","5","1","16.7%","LAC","2020",,,
"145441",":stat_player_game_def_adv","1","104","6","100.0%","2","116","0","158.3","6","17.3","12","19.3","19.3","202011080crd","202011080crd_1","Byron Jones","J/JoneBy00","0","0","0","0.0","5","1","16.7%","MIA","2020",,,
"145443",":stat_player_game_def_adv","2","","0","0.0%","","","0","39.6","1","-3.0","","","0.0","202011230tam","202011230tam_13","Samson Ebukam","E/EbukSa00","1","0","0","1.0","3","0","0.0%","LAR","2020",,,
"145447",":stat_player_game_def_adv","5","-1","1","100.0%","0","7","0","95.8","1","-1.0","8","7.0","7.0","202011150mia","202011150mia_8","Kenneth Murray","M/MurrKe00","0","0","0","0.0","4","1","20.0%","LAC","2020",,,
"145451",":stat_player_game_def_adv","2","5","3","100.0%","0","18","0","91.7","3","1.7","13","6.0","6.0","202011080crd","202011080crd_2","Brandon Jones","J/JoneBr06","1","1","0","0.0","3","1","25.0%","MIA","2020",,,
"145458",":stat_player_game_def_adv","0","8","1","100.0%","0","8","0","100.0","1","8.0","0","8.0","8.0","202011150mia","202011150mia_9","Justin Jones","J/JoneJu03","0","0","0","0.0","4","0","0.0%","LAC","2020",,,
"145464",":stat_player_game_def_adv","1","14","2","66.7%","0","20","0","85.4","3","4.0","6","10.0","6.7","202011080crd","202011080crd_3","Jerome Baker","B/BakeJe00","0","0","0","0.0","7","1","12.5%","MIA","2020",,,
"145465",":stat_player_game_def_adv","4","","0","0.0%","","","0","39.6","1","15.0","","","0.0","202011230tam","202011230tam_14","Justin Hollins","H/HollJu00","0","0","0","0.0","0","0","","LAR","2020",,,
"145472",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","202011150mia","202011150mia_10","Nick Vigil","V/VigiNi00","0","0","0","0.0","1","0","0.0%","LAC","2020",,,
